Plug_ID,Species,Treatment,Timepoint,Sample_Date,ColorScore,PhotoTP,PhotoDate,Notes
1420,Mcapitata,ATAC,9,20181103,15.65127263,Time6,20181103,
1427,Pacuta,HTHC,7,20181006,-10.19240074,Time2,20181005,
1436,Mcapitata,ATAC,8,20181020,8.89976392,Time4,20181018,
1445,Pacuta,ATAC,7,20181006,-0.78800830,Time2,20181005,
1449,Mcapitata,HTHC,5,20180923,NA,NA,NA,Sampled prior to photos taken
1451,Pacuta,ATHC,9,20181103,10.86526703,Time6,20181102,
1452,Mcapitata,ATAC,12,20190112,11.92708298,Time16,20190111,
1455,Mcapitata,ATAC,7,20181006,12.19387755,Time2,20181005,
1459,Pacuta,ATHC,8,20181020,15.39192476,Time4,20181018,
1466,Pacuta,HTAC,6,20180929,NA,NA,NA,Sampled prior to photos taken
1467,Mcapitata,HTAC,9,20181103,11.91575143,Time6,20181102,
1468,Pacuta,ATAC,6,20180929,NA,NA,NA,Sampled prior to photos taken
1471,Pacuta,ATAC,3,20180922,NA,NA,NA,Sampled prior to photos taken
1478,Mcapitata,HTAC,10,20181117,6.24735811,Time8,20181116,
1481,Mcapitata,HTAC,4,20180922,NA,NA,NA,Sampled prior to photos taken
1486,Pacuta,HTAC,9,20181103,-15.24243738,Time6,20181102,
1487,Pacuta,HTAC,7,20181006,5.94218471,Time2,20181003,
1496,Mcapitata,HTAC,6,20180929,NA,NA,NA,Sampled prior to photos taken
1499,Mcapitata,ATAC,7,20181006,13.76885827,Time2,20181003,
1536,Pacuta,HTAC,10,20181117,11.94509993,Time8,20181116,
1542,Pacuta,ATAC,6,20180929,NA,NA,NA,Sampled prior to photos taken
1544,Mcapitata,ATHC,3,20180922,NA,NA,NA,Sampled prior to photos taken
1548,Mcapitata,ATAC,3,20180922,NA,NA,NA,
1559,Pacuta,ATAC,10,20181117,13.35520665,Time8,20181116,
1561,Mcapitata,ATAC,10,20181117,4.30567126,Time8,20181116,
1562,Mcapitata,HTAC,11,20181215,11.49104771,Time12,20181214,
1563,Pacuta,ATAC,5,20180923,NA,NA,NA,Sampled prior to photos taken
1571,Pacuta,HTAC,5,20180923,NA,NA,NA,Sampled prior to photos taken
1579,Mcapitata,HTAC,1,20180922,NA,NA,NA,Sampled prior to photos taken
1580,Mcapitata,ATAC,9,20181103,14.09381868,Time6,20181102,
1581,Pacuta,HTAC,4,20180922,NA,NA,NA,Sampled prior to photos taken
1582,Pacuta,HTAC,11,20181215,-78.34850414,Time12,20181214,
1583,Mcapitata,HTAC,5,20180923,NA,NA,NA,Sampled prior to photos taken
1588,Mcapitata,HTAC,6,20180929,NA,NA,NA,Sampled prior to photos taken
1594,Pacuta,ATAC,9,20181103,12.75459989,Time6,20181102,
1595,Pacuta,HTHC,6,20180929,NA,NA,NA,Sampled prior to photos taken
1596,Pacuta,HTAC,11,20181215,-94.71211446,Time12,20181214,
1600,Mcapitata,ATAC,1,20180922,NA,NA,NA,Sampled prior to photos taken
1604,Mcapitata,HTHC,6,20180929,NA,NA,NA,Sampled prior to photos taken
1609,Mcapitata,ATAC,4,20180922,NA,NA,NA,Sampled prior to photos taken
1610,Mcapitata,ATAC,5,20180923,NA,NA,NA,Sampled prior to photos taken
1611,Mcapitata,ATAC,6,20180929,NA,NA,NA,Sampled prior to photos taken
1617,Pacuta,HTAC,3,20180922,NA,NA,NA,Sampled prior to photos taken
1628,Mcapitata,ATAC,3,20180922,NA,NA,NA,Sampled prior to photos taken
1631,Mcapitata,ATAC,10,20181117,13.52140885,Time8,20181117,
1632,Mcapitata,HTAC,12,20190112,13.83046420,Time16,20190111,
1637,Pacuta,ATAC,3,20180922,NA,NA,NA,Sampled prior to photos taken
1641,Pacuta,ATAC,10,20181117,14.43558610,Time8,20181117,
1642,Pacuta,HTAC,3,20180922,NA,NA,NA,Sampled prior to photos taken
1644,Mcapitata,ATAC,11,20181215,14.69725583,Time12,20181214,
1645,Mcapitata,HTAC,7,20181006,14.44133135,Time2,20181003,
1647,Pacuta,HTAC,11,20181215,-23.75108584,Time12,20181214,
1651,Mcapitata,ATAC,4,20180922,NA,NA,NA,Sampled prior to photos taken
1652,Mcapitata,ATAC,1,20180922,NA,NA,NA,Sampled prior to photos taken
1653,Pacuta,HTAC,1,20180922,NA,NA,NA,Sampled prior to photos taken
1676,Pacuta,HTHC,1,20180922,NA,NA,NA,Sampled prior to photos taken
1689,Mcapitata,HTHC,10,20181117,0.29110274,Time8,20181116,
1694,Mcapitata,HTHC,5,20180923,NA,NA,NA,Sampled prior to photos taken
1696,Pacuta,HTAC,9,20181103,-10.12861452,Time6,20181102,
1701,Pacuta,HTAC,4,20180922,NA,NA,NA,Sampled prior to photos taken
1705,Mcapitata,HTAC,6,20180929,NA,NA,NA,Sampled prior to photos taken
1706,Mcapitata,ATHC,5,20180923,NA,NA,NA,Sampled prior to photos taken
1707,Pacuta,HTAC,5,20180923,NA,NA,NA,Sampled prior to photos taken
1709,Pacuta,HTHC,8,20181020,12.93293036,Time4,20181018,
1721,Pacuta,HTHC,6,20180929,NA,NA,NA,Sampled prior to photos taken
1722,Mcapitata,HTAC,7,20181006,13.30115809,Time2,20181003,
1728,Pacuta,HTAC,7,20181006,10.95919456,Time2,20181005,
1729,Mcapitata,HTAC,12,20190112,14.74785479,Time16,20190111,
1732,Pacuta,HTHC,10,20181117,-40.88757971,Time8,20181116,
1744,Pacuta,HTAC,6,20180929,NA,NA,NA,Sampled prior to photos taken
1751,Mcapitata,HTAC,3,20180922,NA,NA,NA,Sampled prior to photos taken
